Date;Lat;Lon;Dep;Mag;Place
2016.08.13;39.5275;29.1212;005.4;3.8;YATAKLI-TAVSANLI (KUTAHYA) [South West 1.5 km]
2016.08.12;39.3380;40.2925;005.0;3.6;CICEKTEPE-KIGI (BINGOL) [North 4.9 km]
2016.08.10;38.6028;43.1753;002.2;3.5;CITOREN- (VAN) [West 3.8 km]
2016.08.10;35.8465;28.2043;003.0;3.9;AKDENIZ
2016.08.10;35.8127;28.2048;007.9;3.5;AKDENIZ
2016.08.07;35.2940;31.6572;014.6;4.2;AKDENIZ
2016.08.07;37.3105;37.1435;008.7;3.6;CICEK-PAZARCIK (KAHRAMANMARAS) [South East 1.2 km]
2016.08.05;37.5868;35.9878;005.0;3.5;KARAHAMZALI-KOZAN (ADANA) [North East 4.1 km]
2016.08.05;38.2597;42.8123;005.4;3.5;TORELI-GEVAS (VAN) [ 2.49 km]
2016.08.04;38.2610;42.8478;005.2;3.9;YANIKCAY-GEVAS (VAN) [ 4.26 km]
2016.08.02;40.3308;33.3133;005.0;4.2;SEMSETTINKOY-KALECIK (ANKARA) [ .79 km]
2016.07.30;40.3120;33.3308;004.0;3.5;KOYUNBABA-KALECIK (ANKARA) [ .92 km]
2016.07.30;40.3188;33.3168;004.3;3.9;KOYUNBABA-KALECIK (ANKARA) [ .86 km]
2016.07.30;40.3495;33.3055;005.0;4.0;KARAHACI-SABANOZU (CANKIRI) [South East 2.1 km]
2016.07.29;39.4188;40.3903;002.3;3.5;GELINPERTEK-YEDISU (BINGOL) [South 5.9 km]
2016.07.28;35.4975;26.5848;002.5;3.5;GIRIT ADASI (AKDENIZ)
2016.07.28;35.3978;39.0152;005.0;5.0;SURIYE
2016.07.28;41.7447;41.8090;009.1;3.7;TURKIYE-GURCISTAN SINIR BOLGESI
2016.07.27;36.0738;31.3555;008.9;3.8;AKDENIZ
2016.07.26;35.2947;31.5695;013.0;3.9;AKDENIZ
2016.07.26;35.2250;31.5517;009.8;3.5;AKDENIZ
2016.07.26;35.2945;31.5162;007.7;3.8;AKDENIZ
2016.07.25;35.4492;31.6443;008.3;3.5;AKDENIZ
2016.07.25;35.3798;31.6195;008.0;4.1;AKDENIZ
2016.07.25;35.3745;31.5340;001.8;4.0;AKDENIZ
2016.07.25;35.3918;31.5895;008.3;3.9;AKDENIZ
2016.07.25;39.0735;37.7597;005.0;3.8;KARAPINAR-HEKIMHAN (MALATYA) [ 2.68 km]
2016.07.24;35.0407;38.1347;005.0;4.4;SURIYE
2016.07.21;41.4100;44.0668;005.1;4.2;GURCISTAN
2016.07.21;35.9360;30.9077;086.0;3.8;AKDENIZ
2016.07.20;37.9800;29.3675;006.9;3.8;BAYIRALAN-CAL (DENIZLI) [North West 0.9 km]
2016.07.20;39.3573;40.5123;002.5;4.1;SENKOY-YEDISU (BINGOL) [South West 6.5 km]
2016.07.19;36.0643;29.6700;005.0;3.6;KAS ACIKLARI-ANTALYA (AKDENIZ)
2016.07.19;39.3543;40.5177;001.3;4.2;SENKOY-YEDISU (BINGOL) [ 6.73 km]
